iter	Logloss
0	0.6044591064
1	0.528263855
2	0.4639659729
3	0.4100081787
4	0.3647306519
5	0.325708374
6	0.2916925659
7	0.2634956055
8	0.2401323242
9	0.2206883545
10	0.2039260712
11	0.1894920349
12	0.1768137054
13	0.1654465637
14	0.1560817261
15	0.1484115295
16	0.1418469238
17	0.1361434937
18	0.1311958618
19	0.1266464462
20	0.1227624893
21	0.1194149704
22	0.1166130142
23	0.1140280991
24	0.1114787292
25	0.1096615906
26	0.1076554184
27	0.1060788803
28	0.1046921387
29	0.1030679245
30	0.1016410217
31	0.100364296
32	0.09949625397
33	0.09852722931
34	0.09736669922
35	0.09652642822
36	0.09579403687
37	0.09516763306
38	0.09454563904
39	0.09379216003
40	0.09320297241
41	0.09252867126
42	0.0920905304
43	0.09168473816
44	0.0910892334
45	0.09061162567
46	0.09023369598
47	0.08964527893
48	0.08912672424
49	0.0887752533
50	0.08833522797
51	0.08782824707
52	0.08725682068
53	0.08701139832
54	0.08673921204
55	0.08622447968
56	0.08587239075
57	0.08546757507
58	0.08517786407
59	0.08487207031
60	0.08457059479
61	0.0842093277
62	0.08391809082
63	0.08367767334
64	0.08328378296
65	0.08301604462
66	0.08286839294
67	0.08241348267
68	0.08212011719
69	0.08189344025
70	0.08163864136
71	0.08141360474
72	0.08115565491
73	0.08085450745
74	0.08063607788
75	0.0802743454
76	0.080030159
77	0.07962225342
78	0.07931843567
79	0.07896369934
80	0.07876460266
81	0.07854406738
82	0.07828824615
83	0.07808769989
84	0.07791014099
85	0.07773065186
86	0.07735903168
87	0.0771056366
88	0.07686644745
89	0.0765553894
90	0.07627494049
91	0.07607745361
92	0.07595431519
93	0.07574028778
94	0.0753547821
95	0.07503916931
96	0.0747637558
97	0.0743354187
98	0.07423764038
99	0.0739962616
100	0.07380232239
101	0.07352120972
102	0.07343388367
103	0.07309223938
104	0.0728028183
105	0.0724932785
106	0.07215873718
107	0.07196302795
108	0.07185873413
109	0.0717441864
110	0.07153507233
111	0.07139073944
112	0.07111099243
113	0.07095101166
114	0.07084210205
115	0.07056976318
116	0.07028487396
117	0.07016714478
118	0.06985005951
119	0.06972518921
120	0.06969358063
121	0.06941889191
122	0.06924529266
123	0.06892780304
124	0.06861062622
125	0.06829586792
126	0.06822193909
127	0.06810652161
128	0.06791297913
129	0.06756482697
130	0.06741051483
131	0.06721665192
132	0.06709624481
133	0.06694166565
134	0.06675032043
135	0.06660024261
136	0.06645454407
137	0.06624826813
138	0.06619708252
139	0.06603283691
140	0.06584171295
141	0.06571098328
142	0.06557488251
143	0.06543236542
144	0.06509405518
145	0.06489044189
146	0.0645455246
147	0.06428764343
148	0.0642436142
149	0.06411207581
150	0.06398717499
151	0.06375911713
152	0.06368898773
153	0.06344480896
154	0.06329283142
155	0.06314105225
156	0.06295373154
157	0.06266698074
158	0.06255396271
159	0.06238547516
160	0.06211405563
161	0.06190974808
162	0.06180673981
163	0.06162982178
164	0.06154091644
165	0.06140209198
166	0.06133385468
167	0.0610684967
168	0.06095381165
169	0.06068286133
170	0.06051212311
171	0.06040216064
172	0.0602234726
173	0.05995262146
174	0.05967169189
175	0.0596089325
176	0.05933602905
177	0.05915565491
178	0.05895024872
179	0.05888731384
180	0.05874459839
181	0.05851882935
182	0.05843709564
183	0.05835528183
184	0.0581529007
185	0.05808604431
186	0.05798862457
187	0.05766492844
188	0.05761972809
189	0.05748667526
190	0.05735031128
191	0.0571714325
192	0.05702086639
193	0.05690085602
194	0.0568495636
195	0.05664766693
196	0.05645787048
197	0.05633637238
198	0.05627287292
199	0.05607739258
